communityName,state,countyCode,communityCode,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,medIncome,PctPopUnderPov,PctNotHSGrad,PctUnemployed,PctEmploy,PctForeignBorn,PolicPerPop,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Allencity,TX,,,18309,3.25,93.18,1.17,4.37,47869,3.09,6.27,3.09,81.09,2.78,,,0,0,7,25.27,1,3.61,,,149,537.93,497,1794.29,38,137.19,3,10.83,,2480.23
Madisoncity,WI,25,48000,191262,4.24,90.72,3.91,2.03,29420,16.05,9.38,3.52,68.16,5.7,153.4,132076.09,2,1.02,99,50.47,316,161.1,214,109.1,1606,818.74,7466,3806.15,913,465.45,56,28.55,321.68,5118.88
Athenscity,TX,,,10967,19.72,72.71,0.43,8.37,18870,21.95,34.91,9,52.6,5.19,,,1,8.85,2,17.7,2,17.7,142,1256.64,158,1398.23,345,3053.1,27,238.94,1,8.85,1300.88,4699.12
LincolnParkcity,MI,163,47800,41832,0.92,97.32,0.43,3.8,30638,8.53,32.44,7.78,57.41,3.97,,,5,12.29,,,67,164.72,126,309.77,284,698.22,1417,3483.71,331,813.77,14,34.42,,5030.12
Somersworthcity,NH,17,69940,11249,0.73,97.5,1.09,0.91,32886,6.75,25.29,5.32,69.64,3.81,,,0,0,4,35.61,1,8.9,4,35.61,66,587.55,263,2341.32,12,106.83,4,35.61,80.12,3071.31
Ypsilanticity,MI,161,89140,24846,25.13,69.39,4.32,1.92,21219,29.47,17.84,7.5,63.97,7.15,,,4,16.85,,,110,463.39,269,1133.2,407,1714.55,833,3509.14,140,589.77,22,92.68,,5906.14
HazelCrestvillage,IL,,,13334,51.51,45.9,1.18,3.01,40369,7.73,14.64,9.73,66.41,3,,,0,0,,,27,196.35,51,370.88,98,712.68,347,2523.45,141,1025.38,0,0,,4261.51
Braintreetown,MA,21,7665,33836,0.6,97.42,1.56,0.87,44734,4.1,12.43,6.7,61.7,6.62,,,0,0,2,5.74,22,63.12,123,352.89,196,562.33,764,2191.94,267,766.03,5,14.35,421.75,3534.64
Dovercity,OH,157,22456,11329,1.37,98.07,0.38,0.23,27688,7.46,21.93,6.74,54.27,1.78,,,0,0,1,8.29,3,24.87,4,33.16,62,514.05,349,2893.62,14,116.08,0,0,66.33,3523.75
CollegeParkcity,GA,,,20457,74.45,21.07,3.24,1.98,22194,23.37,25,8.29,68.81,6.41,,,8,34.88,27,117.73,202,880.79,193,841.55,578,2520.28,1945,8480.86,718,3130.72,0,0,1874.95,14131.86
Elizabethcity,NJ,39,21000,110002,19.85,65.54,2.73,39.14,27631,16.12,41.52,9.91,59.6,36.9,277,154813.41,17,15.91,42,39.31,878,821.72,464,434.26,1851,1732.35,4058,3797.88,2155,2016.86,23,21.53,1311.2,7568.62
Smyrnatown,TN,,,13647,6.75,92.48,0.3,1.12,31155,10.96,29.64,5.03,68.77,0.87,,,0,0,7,40.88,19,110.96,24,140.16,110,642.41,387,2260.12,24,140.16,5,29.2,292,3071.89
Clarksvillecity,TN,,,75494,20.9,74.96,2.18,3.86,25341,13.3,18.69,6.29,67.46,3.71,,,1,1.07,87,92.99,112,119.71,858,917.09,875,935.26,2553,2728.82,141,150.71,0,0,1130.86,3814.79
Ramseycity,MN,3,53026,12408,0.13,98.62,0.49,0.57,46101,2.04,7.5,4.97,78.37,1.26,,,2,12.62,,,2,12.62,9,56.79,83,523.73,331,2088.59,33,208.23,2,12.62,,2833.17
Patersoncity,NJ,31,57000,140891,36.01,41.15,1.44,40.96,26960,18.54,45.12,11.04,59.88,25.09,253.2,98747.4,23,16.55,78,56.11,1089,783.41,994,715.07,3260,2345.21,4079,2934.38,1823,1311.44,113,81.29,1571.14,6672.33
Dovercity,DE,,,27630,30.92,65.53,1.99,2.82,31308,12.45,17.79,4.07,66.79,3.75,,,0,0,36,123.33,78,267.21,145,496.75,251,859.88,1786,6118.53,76,260.36,11,37.68,887.29,7276.46
Ankenycity,IA,,,18482,0.39,98.79,0.51,0.59,36582,5.63,6.14,2.07,80.9,0.61,,,0,0,2,9.39,1,4.69,11,51.63,82,384.89,475,2229.52,10,46.94,,,65.71,
SomersPointcity,NJ,1,68430,11216,4.07,93.09,1.92,2.79,31793,6.25,21.19,3.44,68.73,4.81,,,1,8.66,3,25.97,6,51.95,14,121.21,86,744.59,226,1956.71,15,129.87,1,8.66,207.79,2839.83
Orindacity,CA,,,16642,0.83,91.77,6.81,2.42,80968,2.36,2.95,2.98,61.31,10.86,,,0,0,1,5.71,6,34.28,2,11.43,130,742.77,247,1411.27,7,40,2,11.43,51.42,2205.46
Sheffieldcity,AL,,,10380,23.65,75.76,0.23,0.38,20134,20.96,34.2,7.43,53.23,0.62,,,2,19.31,2,19.31,1,9.65,20,193.05,94,907.34,371,3581.08,17,164.09,1,9.65,241.31,4662.16
Fontanacity,CA,,,87535,8.7,67.75,4.53,36.1,35558,11.4,28.02,7.37,63.45,16.48,,,14,13.43,79,75.77,433,415.32,864,828.71,1612,1546.16,1988,1906.81,1449,1389.82,42,40.28,1333.23,4883.08
Sunnysidecity,WA,,,11238,0.29,48.24,0.65,57.15,20393,27.93,52.91,14.88,51.7,22.4,,,0,0,11,84.5,11,84.5,101,775.85,175,1344.29,1235,9486.86,98,752.8,5,38.41,944.85,11622.37
SpanishForkcity,UT,,,11272,0.01,98.55,0.25,2.19,29023,7.55,14.94,6.41,61.83,1.14,,,0,0,4,28.93,2,14.47,9,65.09,63,455.66,433,3131.78,12,86.79,1,7.23,108.49,3681.47
AuburnHillscity,MI,125,4105,17076,9.61,86.15,2.41,2.9,34825,7.38,18.18,4.18,72.13,4.68,,,0,0,,,20,105.32,96,505.56,188,990.05,710,3739.01,89,468.69,5,26.33,,5224.08
Douglascity,GA,,,10464,44.43,54.58,0.66,0.76,19038,26.24,38.02,8.71,53.51,1.26,,,3,25.61,3,25.61,19,162.17,177,1510.75,432,3687.27,986,8415.84,62,529.19,4,34.14,1724.14,12666.44
Germantownvillage,WI,131,28875,13658,0.42,98.73,0.49,0.56,43486,2.3,12.77,2.6,76.04,2.17,,,0,0,4,24.45,5,30.56,1,6.11,34,207.81,368,2249.25,9,55.01,10,61.12,61.12,2573.19
Irmotown,SC,,,11280,10.93,87.31,1.43,0.66,42281,2.34,5.4,2.94,82.33,1.11,,,0,0,2,15.59,7,54.58,14,109.15,67,522.38,245,1910.18,14,109.15,0,0,179.32,2541.71
Mitchellcity,SD,35,43100,13798,0.16,97.72,0.36,0.26,20146,14.51,24.49,4.67,62.6,0.93,,,0,0,11,78.1,1,7.1,16,113.6,134,951.37,434,3081.29,19,134.9,4,28.4,198.79,4195.95
AppleValleycity,MN,37,1900,34598,0.91,96.66,1.92,1.01,49981,3.49,4.59,3.49,80.9,2.22,,,0,0,,,6,14.94,29,72.21,216,537.82,955,2377.87,46,114.54,17,42.33,,3072.56
Roseburgcity,OR,,,17032,0.22,96.82,1.03,2.79,23745,14.7,23.31,7.28,53.5,3.15,,,1,5.57,12,66.79,30,166.97,15,83.49,227,1263.43,1037,5771.69,59,328.38,15,83.49,322.81,7446.99
Crestwoodcity,MO,,,11234,0.55,98.33,0.83,0.91,40926,3.36,16.67,4.23,60.85,3.63,,,0,0,1,8.88,7,62.16,6,53.28,34,301.93,600,5328.12,19,168.72,4,35.52,124.32,5834.3
HasbrouckHeightsborough,NJ,3,30420,11488,0.81,94.59,3.73,4.22,44672,2.51,20.42,4.58,63.5,11.64,,,0,0,1,8.49,8,67.91,1,8.49,64,543.25,247,2096.6,58,492.32,1,8.49,84.88,3140.65
LaGrandecity,OR,,,11766,0.75,95.34,1.95,2.11,21318,18.98,19.23,7.41,56.05,2.24,,,2,15.47,7,54.14,3,23.2,10,77.34,93,719.26,334,2583.14,20,154.68,3,23.2,170.15,3480.28
Kaukaunacity,WI,87,38800,11982,0.06,97.1,1.89,0.47,30743,7.67,21.81,5.09,64.15,1.14,,,0,0,0,0,2,16.66,7,58.3,56,466.43,254,2115.61,9,74.96,0,0,74.96,2657
Bellevuecity,WA,,,86874,2.23,86.5,9.95,2.52,43800,5.58,5.82,3.03,70.55,13.29,153,117518.9,2,2.34,32,37.37,74,86.42,83,96.93,641,748.6,3742,4370.17,279,325.84,41,47.88,223.06,5492.49
RiverFallscity,WI,,,10610,0.63,97.64,1.14,0.67,30535,14.69,12.51,6.32,68.63,2.27,,,0,0,0,0,0,0,12,103.33,26,223.89,637,5485.23,27,232.5,3,25.83,103.33,5967.45
Milwaukiecity,OR,,,18692,0.64,95.5,2.48,2.05,29693,8.35,15.13,4.6,64.16,4.35,,,1,4.81,11,52.95,24,115.53,15,72.21,164,789.49,565,2719.88,134,645.07,5,24.07,245.51,4178.5
Clemsoncity,SC,,,11096,12.22,83.06,4.33,1.02,22265,28.65,11.77,5.77,54.64,6.5,,,0,0,5,44.87,3,26.92,32,287.18,119,1067.94,363,3257.65,25,224.36,0,0,358.97,4549.94
Marlboroughcity,MA,17,38715,31813,1.8,94.81,1.94,4.21,41315,5.65,16.95,6.16,71.03,8.9,,,0,0,3,8.97,1,2.99,165,493.14,83,248.06,430,1285.15,67,200.25,1,2.99,505.1,1736.45
Greenbeltcity,MD,,,21096,19.36,70.17,9.01,3.83,38956,9.61,8.76,3.76,76.05,15.35,,,1,4.79,13,62.32,45,215.73,56,268.47,101,484.2,761,3648.31,200,958.82,,,551.32,
Stantoncity,CA,,,30491,2.27,73.14,12.08,33.48,33367,13.62,29.64,8.43,65.39,30.86,,,4,13.21,9,29.71,125,412.68,164,541.43,636,2099.7,1036,3420.27,371,1224.83,34,112.25,997.03,6857.05
Florencetownship,NJ,5,23850,10266,7.02,91.7,0.72,1.67,37764,6.77,25.29,4.46,67.39,3.57,,,0,0,1,9.52,10,95.17,20,190.35,54,513.94,147,1399.07,31,295.04,1,9.52,295.04,2217.57
Harrisonburgcity,VA,660,35624,30707,6.57,91.08,1.53,1.57,25312,21.46,23.15,4.6,56,2.41,,,1,2.98,7,20.83,17,50.59,26,77.38,166,494.03,1214,3612.99,44,130.95,9,26.78,151.78,4264.75
Trumbulltown,CT,1,77200,32016,1.27,96.77,1.68,1.76,60634,1.98,16.25,4.41,63.74,9.57,,,0,0,2,6.15,13,40,6,18.46,155,476.91,979,3012.22,275,846.13,0,0,64.61,4335.25
BatonRougecity,LA,,,219531,43.89,53.95,1.67,1.57,21898,26.17,23.24,9.35,56.17,2.97,258,101771.3,74,32.31,177,77.28,1866,814.75,4705,2054.34,7543,3293.5,18156,7927.45,4006,1749.14,158,68.99,2978.69,13039.07
RollingMeadowscity,IL,,,22591,1.6,92.56,3.47,11.16,45764,3.26,13.89,2.81,76.13,13.19,,,0,0,,,6,26.11,35,152.31,132,574.41,695,3024.37,53,230.64,3,13.05,,3842.47
Watertowncity,SD,29,69300,17592,0.07,98.16,0.38,0.28,20606,13.44,23.65,5.53,64.36,0.65,,,0,0,9,49.3,4,21.91,16,87.64,95,520.38,613,3357.8,23,125.99,2,10.96,158.85,4015.12
Springfieldcity,TN,,,11227,30.21,69.48,0.16,0.49,21645,19.55,40.08,6.1,56.13,0.58,,,1,7.02,7,49.15,22,154.47,168,1179.61,122,856.62,795,5582.08,22,154.47,0,0,1390.25,6593.18
Marquettecity,MI,103,51900,21977,2.83,94.47,0.74,0.59,24365,16.57,16.82,7.2,57.21,2.04,,,0,0,,,3,13.44,24,107.53,55,246.43,652,2921.28,26,116.49,2,8.96,,3293.16
Miamitownship,OH,25,49322,28199,1.09,98.33,0.34,0.5,42530,4.3,17.05,3.02,70.86,1.24,,,1,4.32,12,51.82,4,17.27,14,60.46,99,427.52,571,2465.78,17,73.41,7,30.23,133.87,2996.93
CentralFallscity,RI,7,14140,17637,4.22,77.43,0.77,29.02,18617,22.33,53.08,9.85,56.41,27.7,,,4,26.48,8,52.97,24,158.91,188,1244.79,214,1416.94,318,2105.54,229,1516.26,0,0,1483.15,5038.73
Reedleycity,CA,,,15791,0.39,59.45,6.07,58.24,24128,22.42,46.11,15.46,54.83,28.4,,,2,11.79,8,47.15,14,82.51,99,583.49,146,860.49,614,3618.79,122,719.04,3,17.68,724.94,5216.01
HotSpringscity,AR,,,32462,15.46,83.11,0.42,1.34,15708,24.92,35.62,6.68,46.71,2.72,,,5,13.85,25,69.26,155,429.43,130,360.17,1209,3349.59,2556,7081.51,230,637.23,15,41.56,872.72,11109.88
MapleShadetownship,NJ,5,43740,19211,5.61,91.38,2.17,2.24,32955,2.77,25.96,4.89,67.98,4.18,,,0,0,3,15.26,9,45.77,47,239.02,161,818.76,406,2064.69,194,986.57,16,81.37,300.04,3951.38
Huntsvillecity,TX,,,27925,26.72,64.71,0.93,13,17876,30,26.65,8.13,40.82,5.2,,,7,23.7,19,64.32,49,165.88,145,490.86,242,819.23,851,2880.84,67,226.81,1,3.39,744.75,3930.26
Vidorcity,TX,,,10935,0,99.17,0.16,2.3,24568,15.12,33.24,6.4,54.92,0.51,,,2,17.29,0,0,7,60.51,22,190.16,75,648.28,391,3379.72,28,242.03,3,25.93,267.96,4295.96
Marshallcity,MN,83,40688,12023,0.47,97.67,0.75,1.35,25392,13.02,22.2,4.37,66.71,1.2,,,0,0,,,3,24.38,18,146.29,69,560.79,303,2462.61,19,154.42,2,16.25,,3194.08
Hobbscity,NM,,,29115,7.45,78.71,0.47,30.13,22807,24.8,33.58,7.58,54.5,6.1,,,4,13.22,19,62.77,30,99.11,346,1143.12,637,2104.53,1581,5223.34,56,185.01,3,9.91,1318.22,7522.8
SanMarinocity,CA,,,12959,0.25,66.05,32.33,5.05,100077,3.88,4.77,2.81,56.28,28.61,,,0,0,0,0,17,125.22,10,73.66,101,743.96,151,1112.26,15,110.49,4,29.46,198.88,1996.17
Auburncity,ME,1,2060,24309,0.48,98.46,0.67,0.54,27493,10.91,23.27,6.69,61.75,2.86,,,0,0,3,12.83,8,34.21,6,25.66,116,496.11,553,2365.07,28,119.75,3,12.83,72.71,2993.76
Salemcity,VA,775,70000,23756,4.48,94.6,0.69,0.47,29047,5.16,23.91,2.39,61.98,1.69,,,1,4.09,2,8.18,9,36.79,13,53.15,85,347.49,607,2481.5,23,94.03,9,36.79,102.2,2959.81
FortMadisoncity,IA,,,11618,4.86,91.91,0.41,4.75,22098,12.84,20.68,7.52,52.13,1.02,,,0,0,3,24.08,1,8.03,7,56.19,79,634.18,433,3475.96,17,136.47,,,88.3,
Inglewoodcity,CA,,,109602,51.88,17.4,2.51,38.55,29881,16.47,34,10,62.87,28.9,186.2,190782.59,45,40.67,68,61.46,1329,1201.21,858,775.5,1561,1410.91,2251,2034.56,2290,2069.81,60,54.23,2078.85,5569.51
Crawfordsvillecity,IN,,,13584,1.27,97.54,0.71,0.68,23156,14.9,23.5,5.83,57.62,1.16,,,1,6.95,1,6.95,3,20.84,4,27.79,194,1347.97,616,4280.16,22,152.86,6,41.69,62.53,5822.68
Nilescity,OH,,,21128,1.96,97.49,0.27,0.63,25547,12.66,28.16,7.01,55.06,2.25,,,0,0,1,4.64,13,60.38,78,362.25,128,594.46,700,3250.98,83,385.47,0,0,427.27,4230.91
SouthPasadenacity,CA,,,23936,3.11,69.82,21.25,13.42,43043,5,8.37,2.55,68.65,23.43,,,0,0,4,16.02,57,228.33,26,104.15,213,853.23,405,1622.34,242,969.4,47,188.27,348.5,3633.23
Kinstoncity,NC,,,25295,57.78,41.56,0.41,0.47,18253,25.16,38.47,8.17,51.87,0.94,,,5,19.48,20,77.9,101,393.41,217,845.25,786,3061.58,1800,7011.26,107,416.78,21,81.8,1336.03,10571.42
GreenBaycity,WI,9,31000,96466,0.47,94.22,2.32,1.1,26770,13.39,19.15,5.42,64.66,2.4,123.6,78269.4,2,1.93,62,59.88,46,44.43,341,329.35,644,622.01,3368,3252.97,239,230.84,9,8.69,435.6,4114.51
Ellensburgcity,WA,,,12361,1,93.31,3.23,2.81,14456,33.88,16.94,8.07,51.99,4.64,,,0,0,1,7.29,2,14.58,24,174.93,92,670.55,541,3943.15,26,189.5,1,7.29,196.79,4810.5
Tulsacity,OK,,,367302,13.57,79.35,1.4,2.6,25708,14.99,17.74,6.09,62.75,3,186.1,143356.8,54,14.32,339,89.88,1143,303.06,3385,897.52,7196,1907.98,12790,3391.21,4447,1179.1,249,66.02,1304.78,6544.31
Piscatawaytownship,NJ,23,58980,47089,17.62,65.95,13.9,5.9,50451,2.88,15.72,4.6,68.01,18.31,,,0,0,8,16.31,44,89.68,102,207.9,372,758.22,802,1634.67,114,232.36,3,6.11,313.89,2631.36
Everettcity,MA,17,21990,35701,3.17,93.5,1.8,3.84,30786,9.6,27.07,7.59,60.31,11.31,,,1,2.91,9,26.22,56,163.15,510,1485.8,334,973.05,707,2059.72,419,1220.68,0,0,1678.08,4253.46
Hudsontown,MA,17,31540,17233,0.86,97.25,1.24,2.7,45191,3.61,22.95,5.46,71.41,14.29,,,0,0,2,11.19,0,0,25,139.93,57,319.04,167,934.74,18,100.75,0,0,151.13,1354.53
PortOrangecity,FL,,,35317,1,97.72,0.78,1.95,26472,8.22,20.23,4.54,55.3,5.35,,,0,0,3,7.48,8,19.93,63,156.98,180,448.51,783,1951.01,61,151.99,1,2.49,184.39,2554.01
Herndontown,VA,,,16139,9.65,77.61,8.59,9.59,53840,3.19,12.22,2.42,84.67,18.22,,,0,0,3,16.65,10,55.5,10,55.5,42,233.1,556,3085.8,21,116.55,2,11.1,127.65,3446.55
Gillettecity,WY,,,17635,0.18,97.33,0.33,3.16,35532,9.69,11.26,5.31,72.94,0.65,,,0,0,4,21.14,3,15.86,64,338.3,72,380.59,844,4461.36,27,142.72,18,95.15,375.3,5079.82
Manchestercity,NH,11,45140,99567,0.97,96.97,1.1,2.13,31911,8.99,25.06,7.07,65.92,6.77,168.1,82780.8,5,5.09,33,33.62,140,142.65,41,41.77,1277,1301.14,3536,3602.83,448,456.47,28,28.53,223.14,5388.97
BethelParkborough,PA,3,6064,33823,1.04,98.08,0.77,0.49,41149,3.81,10.34,3.78,62.96,2.35,,,0,0,3,8.74,8,23.29,9,26.21,56,163.06,294,856.07,75,218.39,2,5.82,58.24,1243.34
Aberdeentown,MD,,,13087,24.9,70.94,2.83,2.45,30043,10.66,25.29,5.96,65.23,5.01,,,0,0,12,88.53,16,118.05,112,826.32,142,1047.66,537,3961.93,31,228.71,4,29.51,1032.91,5267.82
Amesburytown,MA,9,1185,14997,0.69,98.39,0.46,0.64,37889,6.25,20.07,8.27,64.89,3.4,,,0,0,0,0,0,0,90,566.68,84,528.9,218,1372.62,43,270.75,0,0,566.68,2172.27
PoplarBluffcity,MO,,,16996,8.45,90.6,0.46,0.82,14868,26.82,41.94,8.52,49.67,1.11,,,2,11.44,17,97.27,19,108.71,42,240.3,407,2328.64,1045,5978.94,60,343.29,19,108.71,457.72,8759.58
Uxbridgetown,MA,27,71620,10415,0.35,99.08,0.31,0.57,40059,5.87,23.43,6.65,65.87,2.26,,,0,0,10,92.17,1,9.22,59,543.78,38,350.23,67,617.51,4,36.87,0,0,645.16,1004.61
Westminstercity,MD,,,13068,5.52,93.2,0.74,1.06,31298,8.51,24.82,3.73,64.03,1.64,,,3,20.53,4,27.37,19,129.99,45,307.88,153,1046.8,747,5110.84,37,253.15,13,88.94,485.77,6499.73
Northboroughtown,MA,27,46820,11929,0.75,94.89,3.91,1.08,57963,2.82,10.11,4.57,73.62,7.84,,,0,0,0,0,1,8.05,25,201.17,37,297.74,115,925.4,13,104.61,1,8.05,209.22,1335.8
Springdalecity,OH,61,74104,10621,13.64,83.98,1.86,1.07,38128,4.01,17.83,3.59,67.33,2.63,,,0,0,2,18.73,16,149.83,12,112.37,79,739.77,1056,9888.57,41,383.93,1,9.36,280.93,11021.63
Garnertown,NC,,,14967,17.59,81.3,0.63,0.79,36999,4.63,15.17,2.87,73.48,1.51,,,0,0,2,11.48,14,80.38,33,189.46,164,941.55,600,3444.71,36,206.68,8,45.93,281.32,4638.88
PalosVerdesEstatescity,CA,,,13512,1.15,84.64,13.62,2.95,101320,2.25,3.98,3.56,60.31,16.53,,,0,0,2,14.27,0,0,12,85.63,90,642.21,135,963.32,12,85.63,2,14.27,99.9,1705.44
Williamsportcity,PA,81,85312,31933,6.71,92.34,0.52,0.77,20290,21.12,27.68,9.51,52.76,1.15,,,2,6.27,8,25.07,48,150.44,43,134.77,439,1375.92,1477,4629.22,66,206.86,14,43.88,316.55,6255.88
Poquosoncity,VA,735,63768,11005,0.76,97.48,1.46,0.87,43236,2.84,15.64,2.91,68.46,2.1,,,0,0,1,8.47,1,8.47,40,338.95,19,161,150,1271.08,5,42.37,2,16.95,355.9,1491.4
Muskegocity,WI,133,55275,16813,0.08,99.33,0.24,0.86,46119,2.66,13.6,2.93,73.97,1.92,,,0,0,1,4.97,0,0,5,24.84,56,278.18,178,884.21,10,49.67,1,4.97,29.8,1217.03
Goldencity,CO,,,13116,0.99,93.95,2.62,4.93,29099,11.52,11.94,5.14,64.64,5.27,,,0,0,0,0,3,20.93,38,265.16,111,774.54,451,3147.02,48,334.94,12,83.73,286.09,4340.24
Coppellcity,TX,,,16881,2.29,89.5,5.41,5.97,58815,2.51,5.29,2.28,82.41,7.37,,,2,8.04,0,0,1,4.02,8,32.16,191,767.84,353,1419.1,10,40.2,2,8.04,44.22,2235.18
GrossePointeWoodscity,MI,163,35580,17715,0.07,98.35,1.46,0.7,55657,1.74,8.42,2.21,60.38,7.81,,,0,0,,,10,56.67,1,5.67,21,119.01,294,1666.19,31,175.69,0,0,,1960.9
Pomonacity,CA,,,131723,14.43,57.02,6.67,51.27,32132,18.43,40.4,9.08,60.3,31.57,119,126273.2,40,27.66,81,56.02,995,688.14,1237,855.5,2282,1578.22,3721,2573.43,1840,1272.54,389,269.03,1627.33,5693.22
Manitowoccity,WI,71,48500,32520,0.22,96.37,2.52,1.15,24202,10.65,25.55,5.79,57.24,2.7,,,1,3,8,23.99,3,9,25,74.98,204,611.84,1358,4072.94,91,272.93,6,18,110.97,4975.71
Roswellcity,NM,,,44654,2.56,81.68,0.6,36.49,21870,21.62,30.72,6.51,53.17,6.41,,,9,18.64,40,82.84,31,64.2,314,650.33,817,1692.11,2295,4753.23,88,182.26,24,49.71,816.02,6677.3
GreenOaktownship,MI,93,35060,11604,2.7,95.94,0.41,0.89,47421,2.87,12.96,4.31,67.01,2.88,,,0,0,,,1,8.39,15,125.82,76,637.48,179,1501.43,17,142.59,3,25.16,,2306.66
Eastontown,MA,5,20100,19807,1.7,96.9,0.99,0.62,50647,4,9.74,4.71,70.07,3.9,,,0,0,0,0,11,52.69,18,86.22,150,718.49,229,1096.9,89,426.31,0,0,138.91,2241.7
Hermistoncity,OR,,,10040,0.88,87.54,1.94,14.69,20674,19.76,28.09,10.06,58.31,8.93,,,0,0,4,35.55,3,26.66,13,115.52,101,897.54,526,4674.31,40,355.46,1,8.89,177.73,5936.19
Carrborotown,NC,,,11553,16.71,78.47,3.7,1.72,19799,29.43,11.13,4.87,71.79,6.46,,,2,14.28,2,14.28,31,221.33,47,335.57,173,1235.18,709,5062.12,38,271.31,0,0,585.46,6568.61
ElkGroveVillagevillage,IL,,,33429,0.79,91.5,6.84,3.57,48863,2.72,12.25,2.48,75.02,9.4,,,0,0,,,10,28.8,45,129.59,167,480.94,973,2802.1,90,259.19,17,48.96,,3591.18
LittleRockcity,AR,,,175795,33.98,64.68,0.87,0.76,26889,14.62,18.05,5.26,64.12,2.07,55.3,45708.2,68,37.61,215,118.9,1136,628.25,4468,2470.95,5796,3205.38,14306,7911.69,2081,1150.86,174,96.23,3255.71,12364.16
Thomasvillecity,GA,,,17457,52.56,46.93,0.17,0.49,20349,25.98,34.89,6.6,56,0.9,,,3,15.98,5,26.63,41,218.39,62,330.24,446,2375.63,973,5182.7,72,383.51,10,53.27,591.24,7995.1
GrandJunctioncity,CO,,,29034,0.82,91.82,0.99,11.11,19042,21.65,22.87,8.53,52.4,3.42,,,4,12.29,11,33.8,22,67.59,151,463.93,448,1376.43,2129,6541.11,89,273.44,19,58.38,577.61,8249.35
Beltoncity,TX,,,12476,8.68,76.02,0.79,22.15,18549,25.98,37.61,8.72,51.54,5.67,,,0,0,7,49.28,10,70.4,24,168.97,84,591.38,316,2224.73,21,147.85,1,7.04,288.65,2970.99
Gallupcity,NM,,,19154,1.16,49.83,1.12,34.68,26622,22.96,24.92,5.77,65.16,4.77,,,5,24.58,24,118.01,48,236.01,250,1229.23,299,1470.15,1992,9794.47,133,653.95,12,59,1607.83,11977.58
NiagaraFallscity,NY,63,51055,61840,15.58,82.19,0.26,1.2,20641,18.64,32.33,10.83,51.23,6.44,256.6,120149.7,3,4.97,39,64.56,207,342.68,196,324.47,1068,1768.04,2932,4853.82,493,816.14,,,736.68,
Lakewoodtownship,NJ,29,38550,45048,14.11,79.77,1.42,10.32,29211,16.09,27.3,7.29,48.9,10.54,202.6,164329.7,3,6.47,23,49.58,126,271.59,118,254.35,723,1558.42,1675,3610.46,208,448.34,39,84.06,581.98,5701.29
Menashacity,WI,139,50825,14638,0.03,98.01,0.83,0.96,27264,9.92,21.46,4.43,65.71,1.76,,,0,0,3,19.13,0,0,4,25.51,77,491.01,628,4004.59,14,89.27,1,6.38,44.64,4591.25
BrownDeervillage,WI,79,10375,12236,6.45,91.2,1.77,1.19,44495,4.54,13.33,1.79,71.01,4.58,,,0,0,1,8.34,7,58.37,9,75.04,49,408.57,390,3251.9,39,325.19,0,0,141.75,3985.66
NorthCharlestoncity,SC,,,70218,34.35,62.67,1.63,2.48,21824,21.73,26.15,4.82,71.56,2.31,203.3,81473.8,9,13.26,98,144.36,430,633.41,1000,1473.06,1488,2191.91,5472,8060.57,830,1222.64,11,16.2,2264.09,11491.32
NorthMiamicity,FL,,,49998,31.88,62.42,2.41,24.56,24898,15.48,30.7,8.23,62.11,37.18,187.8,140475.59,3,5.52,28,51.55,509,937.02,448,824.73,1589,2925.2,2870,5283.41,1425,2623.29,13,23.93,1818.82,10855.84
Waukeshacity,WI,133,84250,56958,0.56,95.37,1.26,5.91,36192,6.13,14.86,3.09,72.49,3.1,,,1,1.65,9,14.85,19,31.34,55,90.72,254,418.98,1618,2668.95,108,178.15,17,28.04,138.56,3294.13
GroveCitycity,OH,,,19661,0.54,98.76,0.38,0.54,34350,5.82,18.75,3.23,69.54,0.77,,,0,0,7,30.73,16,70.23,5,21.95,79,346.76,612,2686.33,51,223.86,0,0,122.9,3256.96
Smithfieldtown,RI,7,66200,19163,0.55,98.55,0.67,0.59,42523,4.34,19.22,4.82,63,3.54,,,0,0,4,20.24,3,15.18,8,40.47,54,273.18,170,860.02,43,217.53,3,15.18,75.88,1365.91
Bluefieldcity,WV,,,12756,22.62,76.87,0.36,0.35,21319,19.92,29.67,5.75,46.99,1.4,,,1,7.92,1,7.92,14,110.81,25,197.88,99,783.6,249,1970.87,13,102.9,0,0,324.52,2857.37
Tarborotown,NC,,,11037,31.56,67.76,0.41,0.44,24375,13.39,35.31,4.44,60.47,0.34,,,0,0,2,18.2,27,245.68,110,1000.91,154,1401.27,492,4476.8,6,54.6,7,63.69,1264.79,5996.36
Pennsaukentownship,NJ,7,57660,34738,14.69,80.5,1.79,4.87,36097,5.46,25.15,4.26,62.6,4.15,,,2,5.57,3,8.36,130,362.1,66,183.83,584,1626.65,791,2203.22,571,1590.44,7,19.5,559.86,5439.81
Perrysburgcity,OH,173,62148,12551,0.64,97.97,0.78,1.44,44277,2.12,9.53,3.98,65.95,1.92,,,0,0,0,0,1,7.22,2,14.44,46,332.18,305,2202.48,15,108.32,0,0,21.66,2642.98
